route,bound,seq,stop_id,stop_name,orig_edge,greedy_edge,dp_edge,greedy_changed,dp_changed,methods_differ
68X,inbound,1,EC19750840FFEDDC,MONG KOK (PARK AVENUE) BUS TER,105735_rev,109965,105735_rev,True,False,True
68X,inbound,2,B76B249D3D253008,FOO KWAI STREET (MK200),105653_rev,105653,105653_rev,True,False,True
68X,inbound,3,A7F35DC09E1A1528,BEECH STREET (MK140),106831_rev,106831,106958_rev,True,True,True
68X,inbound,4,D242B538BA760551,MONG KOK ROAD (MK330),105817,105817,105817,False,False,False
68X,inbound,5,11ED493F674F4888,"BUTE STREET, PIONEER CENTRE (M",106985_rev,106985,105852,True,True,True
68X,inbound,6,BA765A2BCCE21F5C,TONG MI ROAD MONG KOK (MK304),106073,106073,105770,False,True,True
68X,inbound,7,BE510511B0A7344E,TAI NAN STREET (SS340),105786_rev,105786_rev,106028,False,True,True
68X,inbound,8,BE1A19A3705F5B70,WONG CHUK STREET SHAM SHUI PO ,105335_rev,105335_rev,105337,False,True,True
68X,inbound,9,95731C2B3563CF5E,YEN CHOW STREET SHAM SHUI PO (,107083,107084,106344,True,True,True
68X,inbound,10,4AFCFC726ADBD5F7,YEE KOK COURT (SS221),106580,106580,106580,False,False,False
68X,inbound,11,DD9DF46F3BA040EE,CHEUNG SHA WAN PLAYGROUND (SS2,107087,107087,106628,False,True,True
68X,inbound,12,B7C0A83790F94D99,HING WAH STREET CHEUNG SHA WAN,272309,272309,272309,False,False,False
68X,inbound,13,06566A7FE3C6466A,CHEUNG LAI STREET CHEUNG SHA W,9023,9023,8997,False,True,True
68X,inbound,14,7DD772B7D55C54B2,MEI FOO BBI (SS321),8044,8044,9383,False,True,True
68X,outbound,19,50E78EB09845863E,MEI FOO BBI (SS463),8663_rev,8663,8663,True,True,False
68X,outbound,20,09A156B1A802D093,LAI CHI KOK STATION (SS467),8685,8685,8685,False,False,False
68X,outbound,21,BD34A7B702373B12,CHEUNG WAH STREET (SS473),8000_rev,8000,272307_rev,True,True,True
68X,outbound,22,E30C2815DA280036,UN CHAU ESTATE (SS477),106606,106606,bridge_68X_GAP_10,False,True,True
68X,outbound,23,C06334CA2AF7814B,KIU KIANG STREET SHAM SHUI PO ,106580,106580,106273_rev,False,True,True
68X,outbound,24,812E72C257C94B73,PEI HO STREET SHAM SHUI PO (SS,107083,107084,106382,True,True,True
68X,outbound,25,18C138014DF5B0C8,MAPLE STREET SHAM SHUI PO (SS4,106268,106268,106334,False,True,True
68X,outbound,26,0FDE3A87457539BC,MONGKOK POLICE STATION (MK505),106031,106031,106031,False,False,False
68X,outbound,27,30B08A7B2B2B623F,"SAI YEUNG CHOI STREET SOUTH, M",107450,107450,107261_rev,False,True,True
68X,outbound,28,7ADC6D521E6BECE6,"MONGKOK MARKET COMPLEX, YAU TS",106972_rev,106972,106949,True,True,True
68X,outbound,29,E02E10C9135624F9,MING KEI COLLEGE (MK632),106831_rev,106831,105953,True,True,True
68X,outbound,30,145515B1D2C60CAF,"HOI FU COURT, PARK AVENUE (MK1",105734,105734,105732,False,True,True
68X,outbound,31,EC19750840FFEDDC,MONG KOK (PARK AVENUE) BUS TER,105735_rev,109965,105735,True,True,True
960,inbound,1,ADC51A7EEEE43D6F,EXHIBITION CENTRE STATION BUS ,4287_rev,4287,278163,True,True,True
960,inbound,2,C3D2F84C0F0FF415,FLEMING ROAD (WC670),5291,5292,2126_rev,True,True,True
960,inbound,4,6F9CEABEE36E8682,PACIFIC PLACE (A3) (CW741),2731,2731,897_rev,False,True,True
960,inbound,5,A63B90588F747496,BANK OF CHINA TOWER (CW745),4939,273004_rev,5312_rev,True,True,True
960,inbound,6,83B717529F9794BC,LI YUEN STREET EAST (CW763),165041,165041_rev,165041_rev,True,True,False
960,inbound,7,1D8A902219897402,WING KUT STREET (CW767),1305,1305,1305_rev,False,True,True
960,inbound,8,A81B13297DB1C481,MAN WA LANE (CW769),115545,115545,5590_rev,False,True,True
960,inbound,9,13E0A0449C73F4DE,QUEEN STREET (CW785),4833,4833_rev,3262_rev,True,True,True
960,inbound,10,AD97EA183A25102C,WESTERN HARBOUR TUNNEL BBI (YT,261296,261296_rev,285598_rev,True,True,True
960,outbound,15,72F743E4D464E498,WESTERN HARBOUR TUNNEL BBI (YT,106944_rev,106944_rev,106944_rev,False,False,False
960,outbound,16,25D811895B82ABCA,MACAU FERRY (CW111),2468_rev,2468_rev,2468_rev,False,False,False
960,outbound,17,709C8604AFB90F27,HARBOUR BUILDING (CW135),513,513,513,False,False,False
960,outbound,18,8379C4B1265C27F7,JARDINE HOUSE (CW112),2480,2480,2480,False,False,False
960,outbound,19,C804CCACB2781EEE,LIPPO CENTRE (E1) (CW160),2448,2448,2464,False,True,True
960,outbound,20,AD1B202B678A3B56,ARSENAL STREET (WC210),4202_rev,4202_rev,5316,False,True,True
960,outbound,21,B30799FB3732222B,FLEMING ROAD (WC214),3895,3895,4238,False,True,True
960,outbound,22,ADC51A7EEEE43D6F,EXHIBITION CENTRE STATION BUS ,4287_rev,4287,278163,True,True,True
