route,bound,index,edge_from,edge_to,reversal_pattern,nearest_stop,stop_distance_m,stop_edge_is_rev,reversal_type
68X,inbound,24,106831_rev,106831,DIRECTION_SWITCH,A7F35DC09E1A1528,17.3,False,STOP_DRIVEN
68X,inbound,70,105335,105335_rev,DIRECTION_SWITCH,BE1A19A3705F5B70,83.9,True,STOP_DRIVEN
68X,inbound,277,96478,96478_rev,DIRECTION_SWITCH,8FA8E142E834CB7C,,False,STOP_DRIVEN
68X,outbound,30,95649_rev,95649,DIRECTION_SWITCH,6A435795576D92E8,9.6,False,STOP_DRIVEN
68X,outbound,31,95649,95649_rev,DIRECTION_SWITCH,6A435795576D92E8,,False,STOP_DRIVEN
68X,outbound,47,95598,95598_rev,DIRECTION_SWITCH,1DEFCF90AB170FD7,,False,STOP_DRIVEN
68X,outbound,130,8000,8000_rev,DIRECTION_SWITCH,BD34A7B702373B12,,False,STOP_DRIVEN
68X,outbound,203,106268_rev,106268,DIRECTION_SWITCH,18C138014DF5B0C8,9.8,False,STOP_DRIVEN
68X,outbound,231,107450,107450_rev,DIRECTION_SWITCH,30B08A7B2B2B623F,,False,STOP_DRIVEN
68X,outbound,266,106831_rev,106831,DIRECTION_SWITCH,E02E10C9135624F9,17.3,False,STOP_DRIVEN
68X,outbound,276,105734_rev,105734,DIRECTION_SWITCH,145515B1D2C60CAF,9.6,False,STOP_DRIVEN
68X,outbound,277,105734,105734_rev,DIRECTION_SWITCH,145515B1D2C60CAF,,False,STOP_DRIVEN
68X,outbound,171,284524,284524_rev,SHORT_LOOP,812E72C257C94B73,35.8,False,STOP_DRIVEN
960,inbound,43,1305_rev,1305,DIRECTION_SWITCH,1D8A902219897402,9.6,False,STOP_DRIVEN
960,inbound,44,1305,1305_rev,DIRECTION_SWITCH,1D8A902219897402,,False,STOP_DRIVEN
960,inbound,53,4833,4833_rev,DIRECTION_SWITCH,13E0A0449C73F4DE,,False,STOP_DRIVEN
960,inbound,109,261296_rev,261296,DIRECTION_SWITCH,AD97EA183A25102C,16.8,False,STOP_DRIVEN
960,inbound,36,1043,1043,SHORT_LOOP,83B717529F9794BC,38.3,False,STOP_DRIVEN
960,outbound,0,94236_rev,94236,DIRECTION_SWITCH,ECE3F3BE270C27E2,,True,STOP_DRIVEN
960,outbound,3,94664,94664_rev,DIRECTION_SWITCH,594A765BE3A43C73,6.0,True,STOP_DRIVEN
960,outbound,18,94457_rev,94457,DIRECTION_SWITCH,1AD9C759A42F9003,9.6,False,STOP_DRIVEN
960,outbound,146,3895,3895_rev,DIRECTION_SWITCH,B30799FB3732222B,,False,STOP_DRIVEN
