route,bound,seq,from_edge,to_edge,kmb_len,type,ratio,node_dist,recommendation
68X,inbound,1→2,105735_rev,105653_rev,665.791,LONG_DETOUR,3.844674980587001,396.6533826907311,VIA_ROUTING
68X,inbound,2→3,105653_rev,106831_rev,205.596,LONG_DETOUR,4.815852448491215,326.9416990841031,VIA_ROUTING
68X,inbound,3→4,106831_rev,105817,483.465,MINOR_DETOUR,2.0020890860765514,321.74427267629784,ACCEPTABLE
68X,inbound,4→5,105817,106985_rev,337.908,OK,1.4470210826615528,260.5153179757359,
68X,inbound,5→6,106985_rev,106073,483.538,OK,1.2826499675309904,524.958086136409,
68X,inbound,6→7,106073,105786_rev,406.362,ROUTING_STRATEGY,1.163322357897638,348.9369880078634,VIA_ROUTING
68X,inbound,7→8,105786_rev,105335_rev,278.572,OK,1.4546329135735108,238.71493145591037,
68X,inbound,8→9,105335_rev,107083,441.747,OK,1.2441057890602538,138.740687975806,
68X,inbound,9→10,107083,106580,424.098,MINOR_DETOUR,2.5320798494687544,96.39071791412358,ACCEPTABLE
68X,inbound,10→11,106580,107087,330.111,MAJOR_DETOUR,3.6195400940895635,490.3275306364114,CHECK_MAPPING
68X,inbound,11→12,107087,272309,516.749,MAJOR_DETOUR,3.2505142728868366,874.7354640689921,CHECK_MAPPING
68X,inbound,12→13,272309,115789,506.242,LONG_DETOUR,2.787955167686601,521.9134648579203,VIA_ROUTING
68X,inbound,13→14,115789,8044,667.143,ROUTING_STRATEGY,0.9452845941574745,563.0052234215957,VIA_ROUTING
68X,inbound,14→15,8044,9934,1174.714,MAJOR_DETOUR,3.0692917595261484,1820.89558736903,CHECK_MAPPING
68X,inbound,15→16,9934,93721_rev,14420.671,ROUTING_STRATEGY,1.124621038785227,11491.53266761662,VIA_ROUTING
68X,inbound,16→17,93721_rev,93499,98.192,MAJOR_DETOUR,5.131375264787356,156.786989256125,CHECK_MAPPING
68X,inbound,17→18,93499,95989,4683.142,OK,1.2643669570557545,3962.9257453174678,
68X,inbound,18→19,95989,95503_rev,413.693,MINOR_DETOUR,2.244780549828013,262.8763682798433,ACCEPTABLE
68X,inbound,19→20,95503_rev,95598,331.313,MAJOR_DETOUR,15.17118253735893,250.08385093803938,CHECK_MAPPING
68X,inbound,20→21,95598,95600,406.871,MAJOR_DETOUR,13.14571448935903,212.01103839187311,CHECK_MAPPING
68X,inbound,21→22,95600,95649,278.911,MINOR_DETOUR,2.7100401203251216,243.6751710782202,ACCEPTABLE
68X,inbound,22→23,95649,95649,259.464,SAME_EDGE,0.0,,
68X,inbound,23→24,95649,97153_rev,473.023,LONG_DETOUR,2.7517478008468927,624.0180164065775,VIA_ROUTING
68X,inbound,24→25,97153_rev,96253,450.457,MINOR_DETOUR,1.8369566906497181,519.2004403888745,ACCEPTABLE
68X,inbound,25→26,96253,96273_rev,336.925,MAJOR_DETOUR,6.0329450174371155,1184.625329165303,CHECK_MAPPING
68X,inbound,26→27,96273_rev,96273_rev,262.712,SAME_EDGE,0.0,,
68X,inbound,27→28,96273_rev,96273_rev,438.706,SAME_EDGE,0.0,,
68X,inbound,28→29,96273_rev,96522,219.995,MAJOR_DETOUR,8.994886247414714,1157.6676266096406,CHECK_MAPPING
68X,inbound,29→30,96522,96478,328.007,ROUTING_STRATEGY,1.6185630184721667,227.69919850539506,VIA_ROUTING
68X,inbound,30→31,96478,94947_rev,447.005,ROUTING_STRATEGY,1.959441169561862,69.43890696144202,VIA_ROUTING
68X,inbound,31→32,94947_rev,142955,312.421,OK,1.437995525268788,113.49678806028093,
68X,inbound,32→33,142955,96285,507.204,MAJOR_DETOUR,13.851744071418992,480.8418754642733,CHECK_MAPPING
68X,inbound,33→34,96285,260430,480.609,MAJOR_DETOUR,17.13467704516561,507.4310586670863,CHECK_MAPPING
68X,outbound,1→2,260430,97403,475.093,OK,1.3440315896045616,434.09944597983554,
68X,outbound,2→3,97403,96300,345.436,MINOR_DETOUR,2.012065910906796,331.65040147721834,ACCEPTABLE
68X,outbound,3→4,96300,142955,242.96,MINOR_DETOUR,2.435915377016793,385.29156608989064,ACCEPTABLE
68X,outbound,4→5,142955,97070,753.65,ROUTING_STRATEGY,1.5561467524713066,957.493761546257,VIA_ROUTING
68X,outbound,5→6,97070,97407,458.338,OK,1.396698506342481,314.03877626815387,
68X,outbound,6→7,97407,96273_rev,505.042,LONG_DETOUR,3.0209368725769346,12.524488013487709,VIA_ROUTING
68X,outbound,7→8,96273_rev,96273_rev,185.97,SAME_EDGE,0.0,,
68X,outbound,8→9,96273_rev,97153_rev,625.282,LONG_DETOUR,2.4288081217754547,359.8079550260118,VIA_ROUTING
68X,outbound,9→10,97153_rev,95649,704.856,LONG_DETOUR,2.2198292984666375,702.2400467788772,VIA_ROUTING
68X,outbound,10→11,95649,95425,751.189,ROUTING_STRATEGY,1.745512780405464,831.2955746904944,VIA_ROUTING
68X,outbound,11→12,95425,95598,281.396,MINOR_DETOUR,2.9093519453012835,447.6481486614251,ACCEPTABLE
68X,outbound,12→13,95598,95592,283.486,LONG_DETOUR,3.484334323388104,289.8986336635613,VIA_ROUTING
68X,outbound,13→14,95592,96214_rev,528.522,ROUTING_STRATEGY,1.5699441082868826,485.37464169443444,VIA_ROUTING
68X,outbound,14→15,96214_rev,275813_rev,300.537,ROUTING_STRATEGY,0.46952621474227796,187.27615811949912,VIA_ROUTING
68X,outbound,15→16,275813_rev,261287_rev,4645.287,ROUTING_STRATEGY,1.16997292094116,4022.326268181139,VIA_ROUTING
68X,outbound,16→17,261287_rev,261287_rev,233.326,SAME_EDGE,0.0,,
68X,outbound,17→18,261287_rev,8732,14558.295,ROUTING_STRATEGY,1.0075554864082643,11500.033886497898,VIA_ROUTING
68X,outbound,18→19,8732,8663_rev,991.894,ROUTING_STRATEGY,1.0339108816063007,1059.755683636563,VIA_ROUTING
68X,outbound,19→20,8663_rev,8685,792.312,ROUTING_STRATEGY,1.3456820040590074,737.4544728998525,VIA_ROUTING
68X,outbound,20→21,8685,8000_rev,388.991,ROUTING_STRATEGY,1.2747338627371843,358.109805785879,VIA_ROUTING
68X,outbound,21→22,8000_rev,106606,484.19,OK,1.1281728247175695,478.29170785201654,
68X,outbound,22→23,106606,106580,505.521,MAJOR_DETOUR,6.042558073749658,659.1320833490064,CHECK_MAPPING
68X,outbound,23→24,106580,107083,405.711,MAJOR_DETOUR,4.085272521573239,831.8381679749979,CHECK_MAPPING
68X,outbound,24→25,107083,106268,514.657,LONG_DETOUR,2.7355889456472946,615.3815297845698,VIA_ROUTING
68X,outbound,25→26,106268,106031,414.863,MINOR_DETOUR,2.4521589054699984,244.5611802801106,ACCEPTABLE
68X,outbound,26→27,106031,107450,591.607,OK,1.1412643866620917,554.3834482558083,
68X,outbound,27→28,107450,106949_rev,385.251,ROUTING_STRATEGY,1.985926058595565,397.9722927541548,VIA_ROUTING
68X,outbound,28→29,106949_rev,106831_rev,274.416,MAJOR_DETOUR,5.351218587837443,513.8512077440322,CHECK_MAPPING
68X,outbound,29→30,106831_rev,105734,346.729,MAJOR_DETOUR,5.339761023739,311.3289617109208,CHECK_MAPPING
68X,outbound,30→31,105734,105735_rev,140.842,MAJOR_DETOUR,3.983186833472969,150.19031260371023,CHECK_MAPPING
960,inbound,1→2,4287_rev,5291,668.648,LONG_DETOUR,2.7468264318445574,578.5249679140911,VIA_ROUTING
960,inbound,2→3,5291,5291,296.689,SAME_EDGE,0.0,,
960,inbound,3→4,5291,2731,618.069,MINOR_DETOUR,2.010519861051112,965.91892258098,ACCEPTABLE
960,inbound,4→5,2731,4939,361.637,ROUTING_STRATEGY,1.6559699367044856,470.02065029102715,VIA_ROUTING
960,inbound,5→6,4939,165041,723.891,ROUTING_STRATEGY,1.118400422163005,460.6732044519197,VIA_ROUTING
960,inbound,6→7,165041,1305,378.313,ROUTING_STRATEGY,1.6039364230148052,482.0203984272855,VIA_ROUTING
960,inbound,7→8,1305,115546,209.339,LONG_DETOUR,2.4515259937231,339.64687912595525,VIA_ROUTING
960,inbound,8→9,115546,4833,694.311,OK,1.1855782207108918,775.0669654939484,
960,inbound,9→10,4833,261296,2772.681,LONG_DETOUR,3.4269250591755767,1978.072473116191,VIA_ROUTING
960,inbound,10→11,261296,95356,20361.69,OK,1.2479047662546674,15884.176627993658,
960,inbound,11→12,95356,95356,71.999,SAME_EDGE,0.0,,
960,inbound,12→13,95356,94045_rev,6395.5,LONG_DETOUR,2.6955843952779297,9061.228864171791,VIA_ROUTING
960,inbound,13→14,94045_rev,121514_rev,657.524,LONG_DETOUR,2.1383097803274103,993.4209309250535,VIA_ROUTING
960,inbound,14→15,121514_rev,95208,402.019,MINOR_DETOUR,2.01783995283805,506.5774185650189,ACCEPTABLE
960,inbound,15→16,95208,96999,892.92,OK,0.7125050396452091,470.6706774380567,
960,inbound,16→17,96999,94968_rev,417.197,MINOR_DETOUR,2.09141005328418,243.6728563053334,ACCEPTABLE
960,inbound,17→18,94968_rev,94457,396.619,MINOR_DETOUR,2.052271827622983,328.0984878051096,ACCEPTABLE
960,inbound,18→19,94457,97018,164.838,MAJOR_DETOUR,23.63010956211553,387.27667538853956,CHECK_MAPPING
960,inbound,19→20,97018,94642,646.179,MINOR_DETOUR,2.186360126218896,687.7094226488402,ACCEPTABLE
960,inbound,20→21,94642,94266,430.036,MAJOR_DETOUR,4.128445060413547,372.66027223196267,CHECK_MAPPING
960,inbound,21→22,94266,94664_rev,396.423,MINOR_DETOUR,2.739876344208081,235.27323902220567,ACCEPTABLE
960,inbound,22→23,94664_rev,266384,640.249,OK,1.096870123967394,394.3966422270878,
960,outbound,1→2,266384,94236_rev,312.876,MINOR_DETOUR,2.2501246500210947,353.8361564340194,ACCEPTABLE
960,outbound,2→3,94236_rev,94664_rev,503.949,OK,1.0625876824837435,100.64405099160247,
960,outbound,3→4,94664_rev,94266,285.261,MINOR_DETOUR,2.389390768454153,313.41257808199174,ACCEPTABLE
960,outbound,4→5,94266,94642,417.079,MINOR_DETOUR,1.9088709812769284,361.7800660622426,ACCEPTABLE
960,outbound,5→6,94642,97018,577.531,OK,1.3034971282926804,55.674570496771395,
960,outbound,6→7,97018,94457,228.902,MAJOR_DETOUR,5.4671868310456,192.98419624414845,CHECK_MAPPING
960,outbound,7→8,94457,94968_rev,318.529,MINOR_DETOUR,1.8353430927796215,333.7363588223495,ACCEPTABLE
960,outbound,8→9,94968_rev,96999,364.368,MAJOR_DETOUR,7.487869406753612,348.68884825873096,CHECK_MAPPING
960,outbound,9→10,96999,96344,1062.543,OK,0.6271275609551803,500.4301646583666,
960,outbound,10→11,96344,93953_rev,899.484,OK,1.143288818922849,895.0741516209714,
960,outbound,11→12,93953_rev,96965,276.649,MINOR_DETOUR,2.2276241735918076,0.0,ACCEPTABLE
960,outbound,12→13,96965,97116,5651.615,OK,1.0671675264504041,2318.939339655093,
960,outbound,13→14,97116,97116,71.341,SAME_EDGE,0.0,,
960,outbound,14→15,97116,106944_rev,20953.927,OK,1.1596174788620768,16052.10489868852,
960,outbound,15→16,106944_rev,2468_rev,3326.919,OK,0.8182225055674635,2039.0593902336454,
960,outbound,16→17,2468_rev,513,487.53,OK,0.7974893852685989,398.20345779513445,
960,outbound,17→18,513,2480,1218.928,OK,0.3944777706312431,585.4463262332415,
960,outbound,18→19,2480,2448,642.412,OK,0.8098385459798384,438.74070451691483,
960,outbound,19→20,2448,4202_rev,729.559,ROUTING_STRATEGY,1.0712224782368527,624.7930711043463,VIA_ROUTING
960,outbound,20→21,4202_rev,3895,524.57,OK,1.1134071715881577,430.4862354361653,
960,outbound,21→22,3895,4287_rev,681.904,LONG_DETOUR,3.5387679204110842,469.7862987572109,VIA_ROUTING
